model_a,model_b,family_a,family_b,layers_a,layers_b,num_texts,dim_a,dim_b,mean_cka,max_cka,best_cka_layer_a,best_cka_layer_b,mean_nn_overlap,max_nn_overlap,best_nn_layer_a,best_nn_layer_b,nn_k,shuffled_mean_cka,shuffled_max_cka,random_mean_cka,random_max_cka
gpt2,pythia-70m,decoder_transformer,decoder_transformer,13,7,500,768,512,0.5519451298099446,0.7771021431553697,2,3,0.34232747252747253,0.4824,11,5,10,0.008945439018476935,0.027216044334099333,0.5532437207023047,0.5574789528267646
gpt2,mamba-130m,decoder_transformer,state_space,13,25,500,768,768,0.38749539899675967,0.5468466576859989,1,13,0.3604990769230769,0.5561999999999999,11,19,10,0.013812084192422155,0.026925474503410648,0.6055414054718781,0.6103871635610004
gpt2,rwkv-169m,decoder_transformer,recurrent_like,13,13,500,768,768,0.3404805247056137,0.5656274884630761,12,9,0.3678662721893491,0.5573999999999999,11,9,10,0.006670915657550426,0.016926437558433673,0.6055577673377814,0.6088795928928354
pythia-70m,mamba-130m,decoder_transformer,state_space,7,25,500,512,768,0.6108027169278989,0.8816340137187074,0,1,0.4166605714285715,0.5846,0,1,10,0.04719771921491216,0.09643473542831266,0.5535650292980945,0.556800165166785
pythia-70m,rwkv-169m,decoder_transformer,recurrent_like,7,13,500,512,768,0.4960767257828872,0.7752245205188173,0,0,0.4290879120879121,0.5556,0,0,10,0.025152743006221227,0.06103253187310012,0.5535483803142076,0.5560806952097814
mamba-130m,rwkv-169m,state_space,recurrent_like,25,13,500,768,768,0.5937695950643962,0.7840805806531326,1,0,0.5288910769230769,0.7143999999999999,20,10,10,0.03626862547331917,0.06278895244504998,0.6055233777192395,0.6088795928928354
