model_a,model_b,mean_cka,max_cka,best_cka_layer_a,best_cka_layer_b,shuffled_mean_cka,random_mean_cka
gpt2,pythia-70m,0.5519451298099446,0.7771021431553697,2,3,0.008945439018476935,0.5532437207023047
gpt2,mamba-130m,0.38749539899675967,0.5468466576859989,1,13,0.013812084192422155,0.6055414054718781
gpt2,rwkv-169m,0.3404805247056137,0.5656274884630761,12,9,0.006670915657550426,0.6055577673377814
pythia-70m,mamba-130m,0.6108027169278989,0.8816340137187074,0,1,0.04719771921491216,0.5535650292980945
pythia-70m,rwkv-169m,0.4960767257828872,0.7752245205188173,0,0,0.025152743006221227,0.5535483803142076
mamba-130m,rwkv-169m,0.5937695950643962,0.7840805806531326,1,0,0.03626862547331917,0.6055233777192395
