0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.22933333333333336,0.241,0.2346666666666667,0.22966666666666663,0.229,0.23,0.235,0.2346666666666667,0.23666666666666666,0.24033333333333337,0.23333333333333334,0.2353333333333333,0.23366666666666666,0.23600000000000004,0.23900000000000002,0.23399999999999996,0.23866666666666664,0.237,0.2376666666666667,0.23766666666666666,0.22766666666666666,0.215,0.20466666666666666,0.19333333333333333,0.18200000000000002
0.30633333333333335,0.3306666666666666,0.3573333333333333,0.36266666666666664,0.3613333333333333,0.35366666666666663,0.3586666666666667,0.35733333333333334,0.35833333333333334,0.35566666666666674,0.3446666666666667,0.35,0.34833333333333333,0.34400000000000003,0.34400000000000003,0.3413333333333334,0.343,0.3436666666666667,0.344,0.3443333333333334,0.3453333333333334,0.328,0.3126666666666667,0.28900000000000003,0.26433333333333336
0.271,0.2916666666666667,0.32666666666666666,0.3443333333333333,0.3463333333333333,0.3413333333333334,0.3463333333333333,0.34600000000000003,0.3476666666666667,0.347,0.3363333333333333,0.3416666666666667,0.33866666666666667,0.3353333333333333,0.337,0.32866666666666666,0.33233333333333337,0.33366666666666667,0.3403333333333333,0.3376666666666667,0.3333333333333333,0.313,0.3036666666666667,0.2866666666666667,0.273
0.23833333333333334,0.25833333333333336,0.295,0.3143333333333333,0.322,0.32066666666666666,0.3336666666666667,0.33266666666666667,0.3336666666666667,0.3323333333333333,0.32066666666666666,0.3233333333333333,0.3233333333333333,0.32066666666666666,0.32066666666666666,0.315,0.316,0.3153333333333333,0.32399999999999995,0.32066666666666666,0.3176666666666667,0.30033333333333334,0.29300000000000004,0.2803333333333333,0.2673333333333333
0.25333333333333335,0.27599999999999997,0.30733333333333335,0.333,0.34099999999999997,0.3403333333333333,0.3576666666666667,0.3656666666666667,0.37,0.36866666666666664,0.3596666666666667,0.36066666666666675,0.35800000000000004,0.35533333333333333,0.3573333333333333,0.34933333333333333,0.35333333333333333,0.3523333333333333,0.35266666666666663,0.3556666666666667,0.3456666666666666,0.32366666666666666,0.31766666666666665,0.30266666666666664,0.28733333333333333
0.25266666666666665,0.275,0.308,0.33399999999999996,0.3403333333333333,0.3466666666666667,0.3643333333333334,0.373,0.3826666666666667,0.38899999999999996,0.38566666666666666,0.3886666666666667,0.3876666666666667,0.3843333333333333,0.384,0.377,0.3823333333333334,0.37933333333333336,0.372,0.37333333333333335,0.3576666666666667,0.331,0.32433333333333325,0.31566666666666665,0.2996666666666667
0.251,0.27666666666666667,0.30933333333333335,0.3403333333333333,0.3476666666666667,0.35866666666666663,0.37333333333333335,0.383,0.402,0.4093333333333333,0.4106666666666667,0.41633333333333333,0.4156666666666667,0.41433333333333333,0.41133333333333333,0.4056666666666667,0.411,0.4103333333333333,0.3953333333333333,0.397,0.37833333333333335,0.349,0.34,0.33233333333333337,0.3126666666666667
0.25233333333333335,0.2786666666666667,0.32066666666666666,0.35533333333333333,0.36233333333333334,0.37533333333333335,0.394,0.4063333333333334,0.42833333333333334,0.4346666666666667,0.4396666666666667,0.445,0.4446666666666666,0.4483333333333333,0.4476666666666667,0.44100000000000006,0.44600000000000006,0.44566666666666666,0.43366666666666676,0.43399999999999994,0.41633333333333333,0.3776666666666667,0.3703333333333333,0.36066666666666664,0.3303333333333333
0.24400000000000002,0.27133333333333337,0.31466666666666665,0.3556666666666667,0.3686666666666667,0.38866666666666666,0.40900000000000003,0.42499999999999993,0.4453333333333333,0.4553333333333333,0.4643333333333334,0.4696666666666667,0.4673333333333333,0.47600000000000003,0.4803333333333334,0.47833333333333333,0.482,0.4816666666666667,0.4686666666666666,0.46699999999999997,0.4443333333333333,0.4036666666666666,0.3903333333333333,0.38266666666666665,0.3443333333333334
0.24833333333333332,0.27366666666666667,0.3243333333333333,0.3746666666666667,0.38833333333333336,0.4116666666666667,0.4276666666666667,0.43833333333333335,0.461,0.4656666666666666,0.47766666666666663,0.48566666666666664,0.4863333333333333,0.4973333333333334,0.5106666666666666,0.511,0.5133333333333333,0.515,0.5093333333333334,0.5033333333333333,0.4820000000000001,0.4373333333333333,0.4266666666666667,0.4106666666666667,0.36366666666666664
0.25433333333333336,0.2786666666666667,0.339,0.3983333333333333,0.41600000000000004,0.43866666666666654,0.45233333333333337,0.4556666666666667,0.46766666666666673,0.4670000000000001,0.472,0.4770000000000001,0.4776666666666667,0.4896666666666668,0.5113333333333333,0.5093333333333333,0.5076666666666667,0.5143333333333334,0.5433333333333333,0.547,0.5316666666666666,0.49033333333333323,0.4776666666666667,0.4426666666666666,0.372
0.262,0.28900000000000003,0.3466666666666667,0.41,0.4323333333333333,0.44666666666666666,0.46,0.4576666666666667,0.4633333333333333,0.4619999999999999,0.4646666666666667,0.46766666666666673,0.4686666666666666,0.4766666666666667,0.501,0.49366666666666675,0.49666666666666665,0.5049999999999999,0.5506666666666666,0.5483333333333333,0.5423333333333333,0.5166666666666667,0.5013333333333333,0.45133333333333336,0.374
0.21466666666666667,0.23733333333333334,0.2596666666666667,0.2813333333333334,0.285,0.29766666666666663,0.29800000000000004,0.2973333333333333,0.3023333333333333,0.30666666666666664,0.305,0.308,0.29900000000000004,0.30666666666666664,0.3,0.305,0.30433333333333334,0.30833333333333335,0.3006666666666667,0.29633333333333334,0.29966666666666664,0.2916666666666667,0.29300000000000004,0.2853333333333333,0.2873333333333333
