0,1,2,3,4,5,6
0.4166666666666667,0.41000000000000003,0.4866666666666667,0.5633333333333334,0.57,0.5033333333333334,0.43333333333333335
0.48666666666666675,0.48666666666666664,0.55,0.6133333333333333,0.6166666666666667,0.5733333333333334,0.5199999999999999
0.4600000000000001,0.4766666666666667,0.5533333333333332,0.62,0.6333333333333332,0.5666666666666665,0.5033333333333333
0.4233333333333333,0.44,0.5166666666666667,0.6100000000000001,0.6266666666666666,0.5466666666666666,0.4799999999999999
0.4366666666666667,0.45666666666666667,0.5333333333333333,0.6233333333333334,0.6499999999999999,0.57,0.49666666666666665
0.4433333333333334,0.4633333333333333,0.5533333333333333,0.6466666666666667,0.6699999999999999,0.5933333333333334,0.5199999999999999
0.4400000000000001,0.4733333333333334,0.5566666666666668,0.6533333333333334,0.6766666666666665,0.5966666666666666,0.5299999999999999
0.4366666666666667,0.48000000000000004,0.5633333333333334,0.6700000000000002,0.6933333333333332,0.6200000000000002,0.5433333333333333
0.44333333333333336,0.48666666666666675,0.5733333333333334,0.6833333333333335,0.7066666666666667,0.6433333333333333,0.5700000000000001
0.4333333333333334,0.4866666666666667,0.5766666666666667,0.6966666666666668,0.7333333333333332,0.6833333333333335,0.59
0.44000000000000006,0.4966666666666667,0.5766666666666667,0.7133333333333334,0.74,0.6933333333333334,0.61
0.45999999999999996,0.49666666666666676,0.5833333333333334,0.7133333333333334,0.7466666666666666,0.7,0.6233333333333334
0.5566666666666666,0.59,0.58,0.5066666666666667,0.5166666666666667,0.5133333333333333,0.5266666666666666
