0,1,2,3,4,5,6
0.5515872533480849,0.5525142466170468,0.5574789528267646,0.5505240617061825,0.5538839211432678,0.552098496569005,0.5547670861274824
0.5519981029502556,0.553884739991417,0.5555491438835158,0.5537356638914684,0.5528620539535432,0.553844760321601,0.5538269966727544
0.5518487804896027,0.5515474369069084,0.5532569699302683,0.5538990791992737,0.553275447694406,0.5555540268540974,0.5536335534219777
0.5506463625825988,0.553520597981526,0.5525624722816549,0.5542621637636466,0.5526745204745669,0.5520012468060937,0.553591326815575
0.5514180672363358,0.5522358685765457,0.5521217696633304,0.5530122778360369,0.5555624245739219,0.5537686851162941,0.551399691713388
0.5522641367113678,0.555294965287162,0.5519294033579725,0.5525109784155018,0.5560971936443498,0.5539512587239592,0.5532627795174336
0.5538567592467192,0.5507615789072118,0.5544265696582097,0.5547206367503172,0.5542547584231409,0.5551914592242888,0.5548033301294074
0.555212706936843,0.5542079598210258,0.5554650228329009,0.5489316604450714,0.5535008309211449,0.5563668474867927,0.5537952856685224
0.5519682571174941,0.5519541444204519,0.556086880626295,0.5526314204853566,0.5523139908890334,0.5531631750607624,0.5535807789886135
0.5509609530245834,0.5509767454426886,0.553451168892405,0.5527905072033249,0.5537280251642007,0.5514945099875749,0.5518186485970402
0.5514732223485135,0.5527564486613705,0.5551115679528845,0.5517925873371774,0.5530449771913686,0.5527233399910524,0.5550010163077146
0.5526679242147917,0.5521095305648236,0.5509397961488012,0.5553018809328155,0.553241331649051,0.5539565350255413,0.5567986323579586
0.5548187953076372,0.5539762631472225,0.5526449061473777,0.5532127761445588,0.5521456280245367,0.5511421781220258,0.5522456684028977
