0,1,2,3,4,5,6,7,8,9,10,11,12
0.565,0.5256666666666667,0.468,0.43,0.38600000000000007,0.37033333333333335,0.345,0.33199999999999996,0.3193333333333333,0.308,0.2943333333333334,0.2886666666666666,0.322
0.6026666666666667,0.5683333333333334,0.5216666666666666,0.47866666666666663,0.427,0.4063333333333334,0.37866666666666665,0.3636666666666667,0.347,0.3363333333333334,0.32,0.31866666666666665,0.35233333333333333
0.5763333333333334,0.5716666666666667,0.5836666666666667,0.5446666666666666,0.5003333333333334,0.4766666666666667,0.4396666666666666,0.427,0.4096666666666667,0.4086666666666666,0.38666666666666666,0.38733333333333336,0.42100000000000004
0.5173333333333333,0.5289999999999999,0.5893333333333334,0.5676666666666667,0.5343333333333333,0.5236666666666667,0.4926666666666667,0.4846666666666667,0.47800000000000004,0.48633333333333334,0.4686666666666666,0.45899999999999996,0.485
0.48566666666666664,0.5,0.5833333333333334,0.5710000000000001,0.5466666666666666,0.5316666666666666,0.512,0.5066666666666667,0.5079999999999999,0.5203333333333333,0.509,0.49799999999999994,0.5166666666666667
0.48,0.5023333333333333,0.612,0.6020000000000001,0.579,0.5646666666666665,0.5426666666666667,0.5383333333333333,0.5439999999999999,0.5483333333333333,0.5286666666666666,0.5123333333333333,0.541
0.4676666666666666,0.49566666666666664,0.6066666666666667,0.6163333333333334,0.6006666666666667,0.5873333333333334,0.569,0.5630000000000002,0.5576666666666668,0.5706666666666667,0.538,0.5223333333333333,0.5496666666666666
0.48,0.512,0.625,0.645,0.63,0.6146666666666666,0.5853333333333334,0.5753333333333334,0.5696666666666667,0.5623333333333334,0.5296666666666667,0.514,0.5383333333333333
0.4773333333333333,0.5173333333333333,0.6366666666666667,0.6696666666666666,0.6646666666666667,0.65,0.614,0.6023333333333333,0.5913333333333333,0.567,0.5329999999999999,0.5126666666666667,0.5379999999999999
0.48,0.5223333333333333,0.6436666666666666,0.6876666666666668,0.6876666666666668,0.6739999999999999,0.634,0.6196666666666667,0.598,0.5633333333333334,0.5219999999999999,0.5056666666666667,0.5283333333333333
0.47,0.5106666666666666,0.6226666666666667,0.6819999999999999,0.7006666666666667,0.6996666666666668,0.6586666666666667,0.6403333333333333,0.6163333333333333,0.574,0.5343333333333333,0.5106666666666666,0.527
0.461,0.5026666666666667,0.6163333333333333,0.6736666666666666,0.6986666666666668,0.7080000000000001,0.6723333333333333,0.6513333333333333,0.6303333333333332,0.577,0.536,0.5119999999999999,0.5213333333333333
0.44166666666666665,0.49099999999999994,0.6063333333333334,0.667,0.6996666666666667,0.7126666666666667,0.6833333333333333,0.6616666666666666,0.6386666666666666,0.5813333333333334,0.5376666666666667,0.5116666666666667,0.5123333333333333
0.4276666666666666,0.4766666666666667,0.5793333333333333,0.6489999999999999,0.6893333333333332,0.7106666666666667,0.689,0.6693333333333333,0.6463333333333332,0.5833333333333334,0.5356666666666666,0.5066666666666667,0.506
0.4023333333333333,0.44566666666666666,0.5529999999999999,0.6136666666666667,0.6603333333333334,0.705,0.713,0.6903333333333334,0.6836666666666666,0.6223333333333333,0.5743333333333334,0.5403333333333333,0.5276666666666667
0.384,0.43299999999999994,0.5376666666666666,0.5983333333333334,0.6463333333333333,0.7046666666666667,0.7116666666666667,0.6923333333333332,0.693,0.623,0.5743333333333334,0.5396666666666666,0.5223333333333333
0.3873333333333333,0.43399999999999994,0.5373333333333333,0.6006666666666667,0.6493333333333333,0.7080000000000001,0.713,0.692,0.6833333333333333,0.6133333333333333,0.565,0.5336666666666666,0.517
0.385,0.4293333333333333,0.5366666666666666,0.5956666666666667,0.646,0.7023333333333334,0.712,0.7,0.6930000000000001,0.6256666666666666,0.5813333333333334,0.5463333333333333,0.5283333333333333
0.3423333333333333,0.37933333333333336,0.474,0.519,0.5656666666666667,0.6266666666666667,0.6583333333333333,0.6626666666666666,0.6873333333333334,0.7036666666666666,0.6813333333333332,0.6273333333333333,0.5813333333333333
0.33866666666666667,0.369,0.4596666666666666,0.503,0.542,0.606,0.6256666666666666,0.6366666666666667,0.67,0.6876666666666668,0.6823333333333333,0.631,0.5953333333333333
0.3233333333333333,0.346,0.43566666666666665,0.47133333333333327,0.5013333333333333,0.5556666666666666,0.5846666666666666,0.602,0.637,0.7053333333333334,0.722,0.6783333333333333,0.6356666666666666
0.30866666666666664,0.33266666666666667,0.42066666666666663,0.44133333333333324,0.4623333333333333,0.5036666666666666,0.524,0.5439999999999999,0.5763333333333333,0.6703333333333333,0.704,0.6589999999999999,0.6283333333333333
0.309,0.335,0.418,0.4376666666666667,0.4573333333333333,0.49399999999999994,0.5096666666666667,0.528,0.556,0.6513333333333332,0.6813333333333335,0.6539999999999999,0.6423333333333333
0.29100000000000004,0.319,0.3973333333333333,0.41400000000000003,0.4356666666666667,0.465,0.48299999999999993,0.48899999999999993,0.51,0.5413333333333332,0.5543333333333333,0.5489999999999999,0.5566666666666666
0.2846666666666667,0.3106666666666667,0.37466666666666665,0.393,0.40199999999999997,0.42033333333333334,0.43066666666666664,0.43833333333333335,0.4453333333333333,0.4403333333333334,0.4423333333333333,0.4523333333333333,0.5003333333333333
